y,x,Linie,Km,Name,BPS,BPS-Name,Oben,Unten,B-Jahr,Typ,Bauart,Bem Bauart,Nutzung,Bem Nutzung,Zus Nutz,Breite,Lange (m),Diff H=,Steigung,Handlauf,Bem Handlauf,Oberflache,Bem Oberflache,Bemerkungen,Eigentum,Bem Eigentum,Besonderheiten,Perron,Status,FID,geopos
686332.337,255894.306,752,9.955,R2  Perron 2/3,KL,Kloten,Perron,PU,1998,Rampe,Beton,,Fussgaenger,,keine,2.4,36.6,0.0,,beidseitig,#BZU,Bituminoeses Mischgut,,,SBB,,,3/4,Bestehend,35234082,"47.4481735332, 8.58333550432"
686350.883,255950.458,752,10.002,Geb.,KL,Kloten,AG,Trttoir,1970,Treppe,Beton,,Fussgaenger,,keine,4.05,0.9,0.0,15/30,einseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35056316,"47.4486760795, 8.58359224049"
685467.151,255262.678,752,8.883,T3,KLB,Kloten Balsberg,Bahndamweg,PU,1990,Treppe,Beton,,Fussgaenger,,keine,1.486,7.09,2.846,33/15,einseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35222168,"47.4426061742, 8.57174437164"
685280.356,255146.265,752,8.664,Treppe,KLB,Kloten Balsberg,Bruckefundament,Platz,2008,Treppe,Beton,,Andere,Dienstlich,keine,0.6,5.402,3.15,,kein,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35172320,"47.4415834899, 8.56924595845"
677850.35,230479.719,711,31.68,T2,KNO,Knonau,Perron 1,PU,1973,Treppe,Beton,,Fussgaenger,,keine,2.5,8.414,0.0,,beidseitig,#BZU,Beton-Belag,,,SBB,,,1,Bestehend,35090042,"47.2206635143, 8.46647011346"
659295.519,272488.186,701,48.371,Geb.,KB,Koblenz,Eingang AG,Perron,,Treppe,Beton,,Fussgaenger,,Kinderwagen(-rampe),1.1,5.7,0.0,,einseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35232018,"47.6003996979, 8.227084204"
659287.9,272465.622,701,48.395,Rampe,KB,Koblenz,Perron,Platz,2013,Rampe,Beton,,Fussgaenger,,keine,2.7,4.5,0.0,6,beidseitig,#BZU,Bituminoeses Mischgut,,,SBB,,,1,Bestehend,118091611,"47.6001974654, 8.22697988639"
659666.81,271921.764,702,40.359,,KB,Koblenz,Strasse,Propangastank,2014,Treppe,Andere,Aluminium,Andere,dienstlich,keine,1.0,7.25,4.0,1:2,einseitig,,Andere,Metall,,SBB,,,,Bestehend,130503803,"47.5952721512, 8.23194487054"
732791.271,265264.035,852,2.145,R1 Rampe,KRA,Kradolf,Bahnhofstrasse,PU,1914,Rampe,Beton,,Fussgaenger,,keine,2.0,25.0,0.0,,beidseitig,#BZU,Bituminoeses Mischgut,,,SBB,,,,Bestehend,35068450,"47.5246867069, 9.20197180327"
732754.709,265242.999,852,2.132,T1 Treppe,KRA,Kradolf,Platz,PU,1914,Treppe,Beton,,Fussgaenger,,keine,2.3,5.4,0.0,15/32,beidseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35186242,"47.5245049509, 9.20148018062"
