didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
9798;Müstair, posta;01.01.2013;;CH 613;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6261555005, 10.4459592429;586
9799;Obersaxen Meierhof, Post;01.01.2003;;CH 324;Allgemeine Informationen;46.7488271128, 9.100054452;587
9799;Obersaxen Meierhof, Post;01.01.2017;;CH 324;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7488271128, 9.100054452;588
9869;Sta. Maria Val Müstair, posta;01.01.2019;;CH 614;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6021401805, 10.4250184147;589
9873;Samnaun Dorf, Post;;;CH 601;Hauszustellung möglich (genaue Adressangabe nötig);46.945002468, 10.3620287017;590
9882;Silvaplana;01.01.2006;;CH 701;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4621465865, 9.79672918592;591
9952;Vals, Post;01.01.1931;;CH 327;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.6189145457, 9.18053593053;592
9958;Vella, posta;01.01.2003;;CH 328;Allgemeine Informationen;46.7175213775, 9.17341089559;593
9958;Vella, posta;01.01.2020;;CH 328;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7175213775, 9.17341089559;594
8305;Brienz;01.01.2002;;IO 617;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;46.7548403226, 8.03893624435;595
8207;Langnau;;;BN 441;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9392386679, 7.78418250906;596
