didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
6016;Oberwinterthur;01.01.2017;;ZUE640;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5079184546, 8.76037093131;162
6047;Andelfingen;01.01.2003;;ZUE461;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5937589886, 8.67797953564;163
6283;Urnäsch Reka Feriendorf;01.01.2019;;SG 120;Gepäck nach REKA-Zentrum: Vermerk REKA auf der Etikette anbringen;47.3183888986, 9.28598562514;164
6299;Nesslau-Neu St. Johann;01.01.1931;;SG 283;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2266599944, 9.19779821129;165
6350;Walzenhausen;01.01.2020;;SG 242;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.45174123, 9.60126132858;166
6788;Unterwasser, Post;01.01.2020;;SG 287;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1969080495, 9.30899339444;167
7000;Bern;01.01.2013;;BN 100;Reisegepäck Express;46.948824497, 7.43911900576;168
7076;Belp;;;BN 341;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.888883092, 7.49863601858;169
7079;Bern Weissenbühl;;;BN 321;;46.9357720844, 7.43001838248;170
7100;Thun;01.01.2013;;BN 360;Fluggepäck (Check-in am Bahnhof);46.7548532939, 7.62959464395;171
7176;Gunten, Dorf;01.01.2006;;BN 361;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7128095634, 7.70161164589;172
7279;Lenk im Simmental;01.01.2013;;IO 312;Reisegepäck Express;46.4585813799, 7.44352282181;173
7361;Eigergletscher;01.01.1931;;IO 433;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5748075236, 7.97407636075;174
7376;Grindelwald Grund;01.01.2006;;IO 531;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6226478957, 8.02332914559;175
7379;Mürren BLM;01.01.2013;;IO 420;Fluggepäck (Check-in am Bahnhof);46.5641050247, 7.89724225608;176
7379;Mürren BLM;;;IO 420;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5641050247, 7.89724225608;177
