Fahrzeug-Art (Struktur);Fahrzeug-Typ;Objekt;Baudatum Fahrzeug;Eigengewicht (Tara);Lärmarm;Abteile 1.Kl. Nichtraucher;Abteile 2.Kl. Raucher;Abteile 2.Kl. Nichtraucher;Ansage -System/-Speicher;Anzahl Abteil-Langtische;Anzeigeblinkleuchte Durchsage;Audio-Anlage;Aussenanzeigen Front (KIS);Aussenanzeigen Front (KIS) St;Aussenanzeigen Seite (KIS);Aussenanzeigen Seite (KIS) St;Barstühle;Bartheke;Beistellstühle;Bildschirm (KIS);Bildschirm (KIS) St;Bildschirm 2 (KIS) St;Dienst -Raum/-Abteil;Eigengewicht (Tara) Zug;Druckertüchtigt;El Anschluss 230 V Anzahl  UD;El Anschluss 230 V Anzahl (OD);Fahrgastzähleinrichtung AFZ;FIS Fahrgastinformationssystem;Gepäckraum-Ladefläche;Gepäckträgerart;In-Train aussen;In-Train innen;In-Train-Versorgung;Innenanzeigen (Matrix, KIS);Innenanzeigen (Matrix, KIS) St;Klappsitze total pro Zug;Komfortanlage Führerraum;Komfortanlage Gepäckabteil;Komfortanlage Passagierraum;Kundeninformationssystem KIS;Länge über Puffer (LüP);Länge über Zug;Notsitze klappbar;Plätze Rollstühle NR/R Total;Plätze Rollstühle pro Zug;Restaurationsplätze WR;Restaurationsplätze WR pro Zug;Salon-Sofa;Sitzpl. 1.Kl. (AFZ);Sitzpl. 1.Kl. Nichtraucher;Sitzpl. 2.Kl. (AFZ);Sitzpl. 2.Kl. klappbar;Sitzpl. 2.Kl. Nichtraucher;Sitzplätze 1.Kl. NR Zug;Sitzplätze 1.Kl. Total  Zug;Sitzplätze 2.Kl. NR Zug;Sitzplätze 2.Kl. Total  Zug;Sitzplätze pro Wagen Total;Sitzplätze pro Zug Total;Sitzplätze Total (AFZ);Sitzpl. 1.Kl. NR/R Total;Sitzpl. 2.Kl. NR/R Total;Sitzpl. Bestuhlungsart;Sitzplätze Business pro Wagen;Ski- & Snowboardhalter;Stehplätze auf Plattform;Velo-Spanngurt (Stehplatzzone);Veloabteil;Velohaken;Veloplattform;Veloständer;Video/Audio-Anlage;Vmax betrieblich zugelassen
20;B EWI NPZ Bf;50 85 2035607-4;1959-08-21;30.1;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ Bf;50 85 2035608-2;1959-12-07;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ Bf;50 85 2035611-6;1961-01-24;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B NPZ DO;50 85 2043007-7;2010-03-09;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B NPZ DO;50 85 2043011-9;2010-05-05;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;Dilax/APFZ;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B NPZ DO;50 85 2043020-0;2010-10-22;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;Dilax/APFZ;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B NPZ DO;50 85 2043023-4;2011-01-05;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;Dilax/APFZ;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B NPZ DO;50 85 2043024-2;2011-03-08;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B NPZ DO;50 85 2043030-9;2011-07-28;;Ja;;;10;;;;;;;LED 24x240 / Ruf;2;;;;"TFT 15"" / Fela";2;;;;;;;;;;;;;;LED 24x180 / Fela;4;;;;Klimaanlage mit elektronischer;Ruf / F14 8TE;24700;;10;4;;;;;0;;76;;76;;;;;76;;76;;76;normal 'vis-à-vis';;;;;;;;;;140
20;B 2073;50 85 2073003-9;1980-05-31;42.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;Klimaanlage mit elektronischer;;26400;;;;;;;;;;;;80;;;;;80;;;;80;normal 'vis-à-vis';;;;;;3;Ja;;;160
