y;x;Linie;Km;BPS;BPS Name;PerronTyp;P-Nr;Kanten-L=;PK-H=;Bem Hohe;Hilfstritt;H-Verl;Bem H-Verlauf;Material;Bem Material;Kantenkrone;Bem Kantenkrone;Auftritt;Bem Auftritt;Fotos;FID;y2;x2;1_koord;2_koord
683041.861;248150.234;745;99.807;ZMUS;Zurich HB Museumstrasse;Mittelperron;16/17;94.05;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35328129;683129.684;248116.58;47.3789525569, 8.53827293667;47.3786388198, 8.53942949253
683747.888;246936.517;745;101.426;ZSTH;Zurich Stadelhofen;Hausperron;1;332.96;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35368204;683977.404;246708.909;47.3679477999, 8.547393888;47.365871629, 8.55038943559
687337.847;250069.338;745;106.762;STET;Stettbach;Mittelperron;1/2;323.03;P 55;;;konstant;;Fertigelement;;Beton;;Kein;;0;35323204;687429.556;250378.933;47.3956560685, 8.59552735153;47.3984281551, 8.5968025039
682681.183;248172.437;748;200.41;ZUE;Zurich HB;Aussenperron;3;181.27;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35356487;682844.905;248096.27;47.3791975959, 8.53350153154;47.3784920328, 8.53565517973
682692.236;248180.948;748;200.417;ZUE;Zurich HB;Mittelperron;31/32;508.82;P 55;;;konstant;;Ortsbeton;;Beton;;Beton;;0;50772193;683163.76;247990.682;47.3792727513, 8.53364945052;47.3775022736, 8.53985727362
682696.62;248172.279;748;200.424;ZUE;Zurich HB;Mittelperron;4/5;2.2;P 55;;;konstant;;Andere;;Andere;Holzplatten;Kein;;0;35329022;682694.879;248173.626;47.3791942376, 8.53370589473;47.3792065701, 8.53368309206
682936.227;248069.763;748;200.684;ZLOE;Zurich HB Lowenstrasse;Mittelperron;4/5;261.33;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35360537;682696.62;248172.279;47.3782421571, 8.53685939275;47.3791942376, 8.53370589473
684562.747;255836.683;750;9.258;ZFH;Zurich Flughafen;Mittelperron;3/4;465.25;P 55;;;konstant;;Ortsbeton;;Beton;;Kein;;0;35339822;684858.925;256177.364;47.4478851146, 8.55986419566;47.4509107705, 8.56385553068
683277.777;251708.089;751;4.553;ZOER;Zurich Oerlikon;Mittelperron;2/3;330.7;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;168314752;683561.785;251876.438;47.4109196748, 8.54205899138;47.4123977012, 8.54585308224
683597.788;251871.981;751;4.913;ZOER;Zurich Oerlikon;Hausperron;1;46.69;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35313052;683640.692;251890.366;47.4123530484, 8.54632923982;47.4125129409, 8.54690109976
