y,x,Linie,Km,BPS,BPS-Name,PerronTyp,P-Nr,P-Lange,Z-Schienenfrei,P-Besonderheit,Bem-Typ,BE-Nr,BE Konstruktion,Bem Konstruktion,BE L=,Flache,Oberflache,Bem Oberflache,Baujahr,BE Besonderes,B-Jahr,Fotos,GO 1 Erf Dtm,GO Mut Dtm,GO IPID,1 Erf Dtm,Mut Dtm,AT-PA-Region,PJ-Produktionsstandort,IH-Region,IH-Niederlassung,B-Region,Kst,Kst-Beschreibung,UEW-Region,UEW-Niederlassung-FB,Abk. Str. Verwaltung,ErfMandant,Status,FNO,FID,IPID,geopos
571665.927,211808.332,210,87.67,LD,Le Landeron,Mittelperron,2/3,170,ja,,,1,Konventionell fundiert,,170,852,Bituminoeses Mischgut,,,,,0,0001-01-05T00:53:28+00:53,0001-01-24T00:53:28+00:53,1251887,0001-01-21T00:53:28+00:53,0001-01-23T00:53:28+00:53,West,West,West,Biel/Bienne,West,210500,(Cornaux) - Chavannes,West,Biel,SBB CFF,SBB,Bestehend,716,35395029,2089244,"47.0566899541, 7.06569628273"
553542.667,216642.926,224,29.362,CF,La Chaux-de-Fonds,Mittelperron,1/2,141,ja,,,1,Konventionell fundiert,,143,1120,Bituminoeses Mischgut,,,,,0,0001-01-17T00:53:28+00:53,0001-01-20T00:53:28+00:53,2081879,0001-01-03T00:53:28+00:53,0001-01-20T00:53:28+00:53,West,West,West,Biel/Bienne,West,224100,La Chaux-de-Fonds,West,Biel,SBB CFF,SBB,Bestehend,716,35379936,1841583,"47.0991501773, 6.82666722792"
573812.544,212410.937,210,89.927,NV,La Neuveville,Aussenperron,2,324,ja,,,1,Konventionell fundiert,,53,160,Bituminoeses Mischgut,,,,,0,0001-01-27T00:53:28+00:53,0001-01-24T00:53:28+00:53,1515333,0001-01-27T00:53:28+00:53,0001-01-24T00:53:28+00:53,West,West,West,Biel/Bienne,West,210500,(Cornaux) - Chavannes,West,Biel,SBB CFF,SBB,Bestehend,716,35394716,1515325,"47.0621989245, 7.09391483495"
520676.989,174510.138,200,43.122,DAY,Le Day,Aussenperron,1,150,ja,,,2,Konventionell fundiert,,98,358,Bituminoeses Mischgut,,,,,0,0001-01-17T00:53:28+00:53,0001-01-11T00:53:28+00:53,2134319,0001-01-17T00:53:28+00:53,0001-01-11T00:53:28+00:53,West,West,West,Lausanne,West,200200,(Daillens) - (Le Day),West,Lausanne,SBB CFF,SBB,Bestehend,716,35394533,2134317,"46.7170627937, 6.40113223564"
538063.494,151961.641,100,0.213,LS,Lausanne,Mittelperron,5/6,409,nein,,,2,Brueckenkonstruktion,,413,186,Bituminoeses Mischgut,,,,,0,0001-01-04T00:53:28+00:53,0001-01-27T00:53:28+00:53,3429300,0001-01-25T00:53:28+00:53,0001-01-03T00:53:28+00:53,West,West,West,Lausanne,West,150100,Lausanne,West,Lausanne,SBB CFF,SBB,Bestehend,716,35386970,1340440,"46.5160823064, 6.63155987954"
673777.28,268878.204,701,30.206,KAAG,Kaiserstuhl AG,Hausperron,1,120,ja,Kein Plan,,1,Konventionell fundiert,,120,267,Verbundstein-Pflaesterung,,,,,0,0001-01-01T00:53:28+00:53,0001-01-03T00:53:28+00:53,1240177,0001-01-01T00:53:28+00:53,0001-01-30T00:53:28+00:53,Ost,NEP,Ost,Winterthur,Ost,701150,(Zweidlen) - Rekingen,Ost,Winterthur,SBB CFF,SBB,Bestehend,716,35395736,1240176,"47.5664672574, 8.41903291501"
621580.347,265417.47,700,76.87,KAU,Kaiseraugst,Mittelperron,4/5,305,ja,,,1,Konventionell fundiert,,220,1581,Bituminoeses Mischgut,,,,2007,0,0001-01-29T00:53:28+00:53,0001-01-18T00:53:28+00:53,1091532,0001-01-29T00:53:28+00:53,0001-01-12T00:53:28+00:53,Mitte,NEP,Mitte,Basel,Mitte,700250,(Stein-Sackingen) - (Pratteln),Mitte,Basel,SBB CFF,SBB,Bestehend,716,35390720,3511019,"47.5391306556, 7.72524471715"
676698.139,225281.599,660,44.302,HUZY,Hunenberg Zythus,Aussenperron,1,150,ja,,,1,Brueckenkonstruktion,,149,498,Bituminoeses Mischgut,,,,2004,0,0001-01-18T00:53:28+00:53,0001-01-15T00:53:28+00:53,2419712,0001-01-18T00:53:28+00:53,0001-01-01T00:53:28+00:53,Mitte,NEP,Sud,Erstfeld,Ost,660450,(Cham) - (Rotkreuz),Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35387878,2352127,"47.1740466068, 8.4503746863"
680858.846,270668.237,770,23.668,HUEW,Huntwangen-Wil,Mittelperron,3/4,324,ja,,,1,Konventionell fundiert,,320,2170,Bituminoeses Mischgut,,,,2000,0,0001-01-01T00:53:28+00:53,0001-01-16T00:53:28+00:53,1159325,0001-01-06T00:53:28+00:53,0001-01-15T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,770150,(Eglisau) - Huntwangen,Ost,Winterthur,SBB CFF,SBB,Bestehend,716,35379186,1840037,"47.581730834, 8.51345288472"
685245.66,278822.918,770,34.336,JE,Jestetten,Hausperron,2,320,nein,,,1,Fertigelement,,320,1590,Bituminoeses Mischgut,,,,2013,0,0001-01-20T00:53:28+00:53,0001-01-03T00:53:28+00:53,4403541,0001-01-20T00:53:28+00:53,0001-01-03T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,770250,(Rafz) - (Neuhausen),Ost,Winterthur,SBB CFF,SBB,Bestehend,716,68036494,4403543,"47.6545072999, 8.57332489796"
